userid,std dev diff,expectations,first_forecast_date,total_predictions,std_dev_sequence
70110565,"[0.0, -1.0, -1.0, 1.0, -1.0, 1.0, 0.0, -1.0, 1.0, -1.0]","[6.0, 6.0, 6.0, 5.0, 6.0, 5.0, 8.0, 8.0, 3.0, 4.0, 4.0]",2019-10-01,11,"[3.0, 3.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0]"
70110573,"[-17.0, 2.0, -1.0, 14.0, -18.0, 0.0, 3.0, -3.0, 5.0, 7.0]","[3.0, 4.0, 8.0, 12.0, 15.0, 4.0, 7.0, 4.0, 3.0, 7.0, 5.0]",2019-10-01,11,"[22.0, 5.0, 7.0, 6.0, 20.0, 2.0, 2.0, 5.0, 2.0, 7.0, 14.0]"
70110575,"[-2.0, 2.0, -1.0, -1.0, 0.0, 4.0, -4.0]","[1.0, 2.0, 4.0, 5.0, 3.0, 3.0, 9.0, -1.0]",2019-10-01,8,"[3.0, 1.0, 3.0, 2.0, 1.0, 1.0, 5.0, 1.0]"
70110579,"[5.0, -4.0, 0.0, 0.0, 0.0, 0.0, 4.0, -4.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]",2019-10-01,12,"[0.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0]"
70110614,"[3.0, 12.0, 21.0, -20.0, 0.0, -10.0, -1.0, 8.0, 11.0, -6.0, -10.0, 6.0]","[-1.0, -1.0, -1.0, -1.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 3.0]",2019-11-01,13,"[1.0, 4.0, 16.0, 37.0, 17.0, 17.0, 7.0, 6.0, 14.0, 25.0, 19.0, 9.0, 15.0]"
70110621,"[-1.0, 1.0, -1.0, 2.0, 2.0, 1.0]","[2.0, 4.0, 4.0, 3.0, 4.0, 5.0, 5.0]",2019-10-01,7,"[2.0, 1.0, 2.0, 1.0, 3.0, 5.0, 6.0]"
70110631,"[-7.0, 0.0, 0.0]","[1.0, 3.0, 2.0, 1.0]",2019-10-01,4,"[8.0, 1.0, 1.0, 1.0]"
70110632,"[89.0, -92.0, 6.0, 6.0, -12.0, 0.0, 0.0, 0.0, 55.0, -55.0, 92.0, -92.0]","[13.0, 22.0, 9.0, 14.0, 17.0, 9.0, 9.0, 9.0, 9.0, 25.0, 9.0, 22.0, 7.0]",2019-10-01,13,"[4.0, 93.0, 1.0, 7.0, 13.0, 1.0, 1.0, 1.0, 1.0, 56.0, 1.0, 93.0, 1.0]"
70110633,"[1.0, 0.0, -1.0, 0.0, 0.0, 0.0]","[2.0, 2.0, 2.0, 3.0, 3.0, 1.0, -1.0]",2019-10-01,7,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
70110635,"[0.0, 0.0, 0.0, 0.0, 0.0, 4.0, -4.0]","[1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 4.0, 1.0]",2019-10-01,8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0]"
