observation_date,GDPC1_GDPPOT
1993-07-01,-2.1949683368264
1993-10-01,-1.4938815290645
1994-01-01,-1.1729316945204
1994-04-01,-0.4755914483375
1994-07-01,-0.5442713102173
1994-10-01,-0.0641261612538
1995-01-01,-0.3685307565341
1995-04-01,-0.7355031826108
1995-07-01,-0.5592338444809
1995-10-01,-0.5653511937413
1996-01-01,-0.5122248193891
1996-04-01,0.4083805335129
1996-07-01,0.5197000425320
1996-10-01,0.7254332778373
1997-01-01,0.4950089213669
1997-04-01,1.2430479105741
1997-07-01,1.5377644465723
1997-10-01,1.4061294166318
1998-01-01,1.3984968624061
1998-04-01,1.2824597529233
1998-07-01,1.4838839238375
1998-10-01,2.0201596186125
1999-01-01,1.8671231729504
1999-04-01,1.6009466029003
1999-07-01,1.8244991357245
1999-10-01,2.3612633464816
